capsule_id,rep_idx,n_questions,n_correct,n_correct_in_spirit,n_incorrect_in_spirit,n_no_answer,category
capsule-9054015,1,1,0,0,1,0,incorrect_in_spirit
capsule-3301293,1,1,0,0,0,1,no_answer
capsule-1724988,1,2,2,0,0,0,correct
capsule-4299879,1,1,0,0,1,0,incorrect_in_spirit
capsule-0851068,1,1,1,0,0,0,correct
capsule-1394704,1,2,1,0,1,0,incorrect_in_spirit
capsule-0504157,1,1,0,1,0,0,correct_in_spirit
capsule-3593259,1,1,1,0,0,0,correct
capsule-3639589,1,1,1,0,0,0,correct
capsule-2345790,1,2,0,0,2,0,incorrect_in_spirit
capsule-7716865,1,1,0,0,1,0,incorrect_in_spirit
capsule-4933686,1,2,2,0,0,0,correct
capsule-9240688,1,1,1,0,0,0,correct
capsule-1175539,1,1,1,0,0,0,correct
capsule-2708693,1,2,2,0,0,0,correct
capsule-4252248,1,1,0,0,1,0,incorrect_in_spirit
capsule-4671827,1,1,0,0,1,0,incorrect_in_spirit
capsule-7186268,1,2,1,0,1,0,incorrect_in_spirit
capsule-5136217,1,1,0,0,1,0,incorrect_in_spirit
capsule-7800694,1,2,1,1,0,0,correct_in_spirit
capsule-8412128,1,2,2,0,0,0,correct
capsule-7655932,1,2,2,0,0,0,correct
capsule-9294029,1,1,0,0,1,0,incorrect_in_spirit
capsule-6295990,1,2,2,0,0,0,correct
capsule-9477017,1,1,0,1,0,0,correct_in_spirit
capsule-0201673,1,3,3,0,0,0,correct
capsule-0152700,1,3,1,0,2,0,incorrect_in_spirit
capsule-2242462,1,2,2,0,0,0,correct
capsule-3762736,1,2,2,0,0,0,correct
capsule-5507257,2,1,0,0,0,1,no_answer
capsule-3449234,2,1,0,0,1,0,incorrect_in_spirit
capsule-8807709,2,2,0,0,2,0,incorrect_in_spirit
capsule-6049678,2,2,0,2,0,0,correct_in_spirit
capsule-2804717,2,1,0,0,1,0,incorrect_in_spirit
capsule-3418007,2,2,1,0,1,0,incorrect_in_spirit
capsule-1624349,2,2,0,0,0,2,no_answer
capsule-9832712,2,2,0,0,0,2,no_answer
capsule-2816027,2,1,0,0,1,0,incorrect_in_spirit
capsule-3821950,2,2,0,0,2,0,incorrect_in_spirit
capsule-9054015,2,1,0,0,1,0,incorrect_in_spirit
capsule-3301293,2,1,0,0,0,1,no_answer
capsule-1724988,2,2,2,0,0,0,correct
capsule-4299879,2,1,1,0,0,0,correct
capsule-0851068,2,1,0,0,0,1,no_answer
capsule-1394704,2,2,0,0,0,2,no_answer
capsule-0504157,2,1,0,0,1,0,incorrect_in_spirit
capsule-3593259,2,1,1,0,0,0,correct
capsule-3639589,2,1,1,0,0,0,correct
capsule-2345790,2,2,2,0,0,0,correct
capsule-7716865,2,1,0,0,1,0,incorrect_in_spirit
capsule-4933686,2,2,1,1,0,0,correct_in_spirit
capsule-9240688,2,1,1,0,0,0,correct
capsule-1175539,2,1,1,0,0,0,correct
capsule-2708693,2,2,2,0,0,0,correct
capsule-4252248,2,1,0,0,0,1,no_answer
capsule-4671827,2,1,1,0,0,0,correct
capsule-7186268,2,2,0,0,2,0,incorrect_in_spirit
capsule-5136217,2,1,1,0,0,0,correct
capsule-7800694,2,2,2,0,0,0,correct
capsule-8412128,2,2,2,0,0,0,correct
capsule-7655932,2,2,2,0,0,0,correct
capsule-9294029,2,1,1,0,0,0,correct
capsule-6295990,2,2,2,0,0,0,correct
capsule-9477017,2,1,0,1,0,0,correct_in_spirit
capsule-0201673,2,3,3,0,0,0,correct
capsule-0152700,2,3,1,0,2,0,incorrect_in_spirit
capsule-2242462,2,2,1,0,1,0,incorrect_in_spirit
capsule-3762736,2,2,2,0,0,0,correct
capsule-5507257,3,1,1,0,0,0,correct
capsule-3449234,3,1,0,0,1,0,incorrect_in_spirit
capsule-8807709,3,2,1,0,1,0,incorrect_in_spirit
capsule-6049678,3,2,0,2,0,0,correct_in_spirit
capsule-2804717,3,1,0,0,1,0,incorrect_in_spirit
capsule-3418007,3,2,1,0,1,0,incorrect_in_spirit
capsule-1624349,3,2,2,0,0,0,correct
capsule-9832712,3,2,0,0,0,2,no_answer
capsule-2816027,3,1,0,0,1,0,incorrect_in_spirit
capsule-3821950,3,2,0,0,2,0,incorrect_in_spirit
capsule-9054015,3,1,0,1,0,0,correct_in_spirit
capsule-3301293,3,1,1,0,0,0,correct
capsule-1724988,3,2,2,0,0,0,correct
capsule-4299879,3,1,1,0,0,0,correct
capsule-0851068,3,1,0,0,0,1,no_answer
capsule-1394704,3,2,1,0,0,1,no_answer
capsule-0504157,3,1,0,1,0,0,correct_in_spirit
capsule-3593259,3,1,1,0,0,0,correct
capsule-3639589,3,1,1,0,0,0,correct
capsule-2345790,3,2,2,0,0,0,correct
capsule-7716865,3,1,1,0,0,0,correct
capsule-4933686,3,2,2,0,0,0,correct
capsule-9240688,3,1,1,0,0,0,correct
capsule-1175539,3,1,1,0,0,0,correct
capsule-2708693,3,2,2,0,0,0,correct
capsule-4252248,3,1,0,0,0,1,no_answer
capsule-4671827,3,1,1,0,0,0,correct
capsule-7186268,3,2,0,0,2,0,incorrect_in_spirit
capsule-5136217,3,1,0,0,1,0,incorrect_in_spirit
capsule-7800694,3,2,2,0,0,0,correct
capsule-8412128,3,2,2,0,0,0,correct
capsule-7655932,3,2,2,0,0,0,correct
capsule-9294029,3,1,0,0,1,0,incorrect_in_spirit
capsule-6295990,3,2,2,0,0,0,correct
capsule-9477017,3,1,0,1,0,0,correct_in_spirit
capsule-0201673,3,3,3,0,0,0,correct
capsule-0152700,3,3,0,0,0,3,no_answer
capsule-2242462,3,2,2,0,0,0,correct
capsule-3762736,3,2,0,0,0,2,no_answer
capsule-5507257,4,1,0,0,0,1,no_answer
capsule-3449234,4,1,0,0,1,0,incorrect_in_spirit
capsule-8807709,4,2,0,0,0,2,no_answer
capsule-6049678,4,2,2,0,0,0,correct
capsule-2804717,4,1,0,0,0,1,no_answer
capsule-3418007,4,2,1,0,1,0,incorrect_in_spirit
capsule-1624349,4,2,2,0,0,0,correct
capsule-9832712,4,2,0,0,0,2,no_answer
capsule-2816027,4,1,0,0,1,0,incorrect_in_spirit
capsule-3821950,4,2,0,0,0,2,no_answer
capsule-9054015,4,1,1,0,0,0,correct
capsule-3301293,4,1,1,0,0,0,correct
capsule-1724988,4,2,0,0,0,2,no_answer
capsule-4299879,4,1,1,0,0,0,correct
capsule-0851068,4,1,1,0,0,0,correct
capsule-1394704,4,2,0,0,2,0,incorrect_in_spirit
capsule-0504157,4,1,0,0,1,0,incorrect_in_spirit
capsule-3593259,4,1,1,0,0,0,correct
capsule-3639589,4,1,0,0,1,0,incorrect_in_spirit
capsule-2345790,4,2,2,0,0,0,correct
capsule-7716865,4,1,0,1,0,0,correct_in_spirit
capsule-4933686,4,2,2,0,0,0,correct
capsule-9240688,4,1,1,0,0,0,correct
capsule-1175539,4,1,1,0,0,0,correct
capsule-2708693,4,2,0,0,2,0,incorrect_in_spirit
capsule-4252248,4,1,0,0,0,1,no_answer
capsule-4671827,4,1,0,0,1,0,incorrect_in_spirit
capsule-7186268,4,2,0,0,2,0,incorrect_in_spirit
capsule-5136217,4,1,0,0,1,0,incorrect_in_spirit
capsule-7800694,4,2,2,0,0,0,correct
capsule-8412128,4,2,2,0,0,0,correct
capsule-7655932,4,2,2,0,0,0,correct
capsule-9294029,4,1,0,0,1,0,incorrect_in_spirit
capsule-6295990,4,2,2,0,0,0,correct
capsule-9477017,4,1,0,1,0,0,correct_in_spirit
capsule-0201673,4,3,3,0,0,0,correct
capsule-0152700,4,3,0,0,0,3,no_answer
capsule-2242462,4,2,1,0,1,0,incorrect_in_spirit
capsule-3762736,4,2,2,0,0,0,correct
