split,agent_id,scaffold,model,n,accuracy,label,n_pass,cost_mean,cost_median,cost_mean_passed,cost_total,cost_n,in_tok_mean,cached_in_mean,out_tok_mean,tot_tok_mean,dur_mean_s,dur_median_s,dur_n,turns_mean,tools_mean,tools_median
main39,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_medium_max_threads_6,codex,gpt-5.4,39,0.9230769230769231,Codex GPT-5 4 medium t6,36,0.4673134294871795,0.3098395,0.47377090972222224,18.22522375,39,115427.35897435897,1842789.7435897435,9268.051282051281,1967485.1538461538,,,0,1.0,27.512820512820515,26.0
main39,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_medium_max_threads_9,codex,gpt-5.4,39,0.9743589743589743,Codex GPT-5 4 medium t9,38,0.5376074871794873,0.399227,0.549043125,20.966692000000002,39,133853.7435897436,2145483.487179487,10210.48717948718,2289547.717948718,,,0,1.0,32.743589743589745,28.0
main39,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_xhigh,codex,gpt-5.4,39,0.9743589743589743,Codex GPT-5 4 xhigh,38,0.6267401153846154,0.45731625,0.576574697368421,24.4428645,39,158254.8205128205,2408096.8205128205,12790.948717948719,2579142.5897435895,,,0,1.0,36.87179487179487,33.0
main39,corebench_hard_codex_agent_gpt_5_reasoning_effort_medium,codex,gpt-5,39,0.8461538461538461,Codex GPT-5 medium,33,0.3504569423076923,0.2356885,0.3362786287878788,13.66782075,39,107550.33333333333,1076322.4615384615,8147.871794871795,1192020.6666666667,,,0,1.0256410256410255,25.615384615384617,21.0
main39,corebench_hard_core_agent_anthropic_claude_opus_4_5_max_steps_200,core_agent,anthropic/claude-opus-4-5,39,0.8205128205128205,CA Opus 4 5,32,5.9689703846153845,4.845535,5.6591809375,232.78984499999999,39,1124018.9487179487,0.0,13955.02564102564,1137973.9743589743,3222.1409146153846,859.110094,39,34.37837837837838,34.37837837837838,31.0
main39,corebench_hard_core_agent_anthropic_claude_opus_4_6_max_steps_200,core_agent,anthropic/claude-opus-4-6,39,0.9743589743589743,CA Opus 4 6,38,7.63507358974359,4.77506,7.103070921052631,297.76787,39,1450675.2307692308,0.0,15267.897435897436,1465943.1282051282,1692.1428744871794,1158.61509,39,37.15384615384615,37.15384615384615,34.0
main39,corebench_hard_core_agent_gpt_5_4_max_steps_200,core_agent,gpt-5.4,39,0.5128205128205128,CA GPT-5 4,20,2.2555214743589747,1.64621,2.139936375,87.9653375,39,1172818.4102564103,0.0,78949.84615384616,1251768.2564102565,2890.2316671282056,560.38059,39,17.94871794871795,17.94871794871795,14.0
main39,corebench_hard_opencode_agent_anthropic_claude_opus_4_5_thinking_budget_10000,opencode,anthropic/claude-opus-4-5,39,0.8205128205128205,OC Opus 4 5 think10k,32,1.2110551987179488,0.911818,1.37385025,47.23115275,39,171.53846153846155,1067679.9487179487,6942.128205128205,1155242.3076923077,721.7152051282052,265.879,39,24.025641025641026,27.871794871794872,25.0
main39,corebench_hard_opencode_agent_anthropic_claude_opus_4_6_baseline,opencode,anthropic/claude-opus-4-6,39,0.7948717948717948,OC Opus 4 6,31,1.0292735833333333,0.78659725,1.0863919193548388,40.14166975,39,25.692307692307693,871072.6153846154,5641.717948717948,949150.5641025641,630.9982564102564,364.571,39,24.692307692307693,30.564102564102566,28.0
main39,corebench_hard_opencode_agent_openai_gpt_5_4_reasoning_effort_high,opencode,openai/gpt-5.4,39,0.8461538461538461,OC GPT-5 4 high,33,0.5479767307692308,0.41218150000000003,0.5826831818181818,21.3710925,39,82980.7435897436,913690.2564102564,4210.871794871795,1004144.4871794871,1084.164282051282,775.49,39,22.512820512820515,35.666666666666664,32.0
ood19,corebench_hard_codex_agent_gpt_5_1_reasoning_effort_medium,codex,gpt-5.1,19,0.9473684210526315,Codex GPT-5 1 medium,18,0.58130225,0.281715375,0.58130225,10.4634405,18,158786.33333333334,2550065.777777778,6406.111111111111,2715258.222222222,,,0,1.0,24.38888888888889,23.0
ood19,corebench_hard_codex_agent_gpt_5_2_reasoning_effort_medium,codex,gpt-5.2,19,1.0,Codex GPT-5 2 medium,19,0.5975880694444444,0.294139375,0.5975880694444444,10.75658525,18,131493.83333333334,2785415.111111111,8504.388888888889,2925413.3333333335,,,0,1.0,34.833333333333336,31.0
ood19,corebench_hard_codex_agent_gpt_5_3_codex_reasoning_effort_medium,codex,gpt-5.3-codex,19,0.8947368421052632,Codex GPT-5 3 Codex medium,17,0.1560649861111111,0.14515725000000002,0.1591373125,2.80916975,18,49371.72222222222,490247.1111111111,3306.9444444444443,542925.7777777778,,,0,1.0,19.055555555555557,17.0
ood19,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_high,codex,gpt-5.4,19,0.8947368421052632,Codex GPT-5 4 high,17,0.3778506111111111,0.27958249999999996,0.3833625882352941,6.801311,18,90934.44444444444,1457073.7777777778,8204.833333333334,1556213.0555555555,,,0,1.0,28.22222222222222,28.0
ood19,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_low,codex,gpt-5.4,19,0.8421052631578947,Codex GPT-5 4 low,16,0.2455467222222222,0.20326675,0.251535203125,4.419841,18,70343.77777777778,853269.3333333334,5095.833333333333,928708.9444444445,,,0,1.0,21.61111111111111,20.5
ood19,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_medium,codex,gpt-5.4,19,0.8947368421052632,Codex GPT-5 4 medium,17,0.41474109722222224,0.277192125,0.428694,7.46533975,18,106221.94444444444,1685233.7777777778,7130.944444444444,1798586.6666666667,,,0,1.0,26.0,24.5
ood19,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_medium_max_threads_1,codex,gpt-5.4,19,0.9473684210526315,Codex GPT-5 4 medium t1,18,0.36383275000000004,0.24246,0.36383275000000004,6.5489895,18,88275.0,1492458.6666666667,6693.166666666667,1587426.8333333333,,,0,1.0,20.666666666666668,18.0
ood19,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_medium_max_threads_3,codex,gpt-5.4,19,0.8947368421052632,Codex GPT-5 4 medium t3,17,0.38816870833333333,0.269804125,0.3973578529411764,6.98703675,18,94194.16666666667,1498794.6666666667,8307.666666666666,1601296.5,,,0,1.0,23.77777777777778,22.5
ood19,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_medium_max_threads_6,codex,gpt-5.4,19,0.8421052631578947,Codex GPT-5 4 medium t6,16,0.3269563611111111,0.277046875,0.341955796875,5.8852145,18,85500.55555555556,1134023.111111111,7832.777777777777,1227356.4444444445,,,0,1.0,23.833333333333332,24.0
ood19,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_medium_max_threads_9,codex,gpt-5.4,19,0.8421052631578947,Codex GPT-5 4 medium t9,16,0.40105801388888884,0.268512375,0.41570989062499997,7.21904425,18,103907.83333333333,1536519.111111111,7910.833333333333,1648337.7777777778,,,0,1.0,23.555555555555557,23.0
ood19,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_xhigh,codex,gpt-5.4,19,1.0,Codex GPT-5 4 xhigh,19,0.5396885,0.3309415,0.5396885,9.714393,18,105290.88888888889,2239985.777777778,12807.666666666666,2358084.3333333335,,,0,1.0,36.22222222222222,35.0
ood19,corebench_hard_codex_agent_gpt_5_reasoning_effort_medium,codex,gpt-5,19,0.8947368421052632,Codex GPT-5 medium,17,0.2904353333333333,0.24235650000000003,0.24110248529411765,5.227836,18,87296.0,836380.4444444445,7676.777777777777,931353.2222222222,,,0,1.0,24.166666666666668,22.5
